"filename", "language", "XML", "JavaScript JSX", "JSON", "HTML", "Markdown", "Java Properties", "Batch", "PostCSS", "Java", "comment", "blank", "total"
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\eslint.config.js", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\package-lock.json", "JSON", 0, 0, 6002, 0, 0, 0, 0, 0, 0, 0, 1, 6003
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\public\lurabbit.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\public\vite.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\App.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 3, 4, 59
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\common\ParseTweet.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 13, 66
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\common\Post.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 4, 27
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\common\Request.js", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\Feed.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\FeedNewStatus.jsx", "JavaScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\FeedTweet.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\Login.jsx", "JavaScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 0, 3, 15, 92
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\ModalBG.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\NavSidebar.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 0, 0, 0, 0, 1, 7, 89
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\OpenGifPicker.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\PostModal.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 6, 37
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\ProfilePic.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\Register.jsx", "JavaScript JSX", 0, 185, 0, 0, 0, 0, 0, 0, 0, 22, 34, 241
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\components\TweetGif.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\context\AuthProvider.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\context\PostModalProvider.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 803, 0, 5, 149, 957
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\main.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 15, 74
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 6, 64
"c:\Users\Kashan\Documents\Programming\Real stuff\Twitter Clone\twitter-frontend\vite.config.js", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 120, 848, 6039, 13, 32, 8, 108, 803, 1019, 273, 622, 9885
